Paper ID,Sample,Li ratio,Ni ratio,Co ratio,Mn ratio,O ratio,W ratio,Commercial NCM used,Lithium source,Synthesis method,Crystallization method,Crystallization final temperature,Crystallization final duration (hours),Doping,Coating,Active material to Conductive additive to Binder ratio,Electrolyte salt,Electrolyte concentration,Electrolyte solvent,Electrolyte solvent ratio,Additive,Loading density (mass loading of NCM),Voltage range,Temperature,C-rate 0.1,C-rate 0.5,C-rate 1.0,C-rate 2.0,C-rate 0.05,C-rate 5.0,C-rate 10.0,C-rate 20.0,C-rate 40.0,C-rate 0.33,C-rate None,C-rate 0.2,C-rate 0.3,C-rate 4.0,C-rate 6.0
41,NCM-811,True,True,True,True,True,,yes,,sonication-assisted liquid exfoliation and chemical vapor-assisted coating,,550.0,4.0,,g-C3N4,80:10:10,LiPF6,1.0M,EC:DMC,3:7,"FEC, 5%",,2.6-4.2,25.0,,,False,,,,,,,,,,,,
41,g-C3N4@NCM-811,True,True,True,True,True,,yes,,sonication-assisted liquid exfoliation and chemical vapor-assisted coating,,550.0,4.0,,g-C3N4,80:10:10,LiPF6,1.0M,EC:DMC,3:7,"FEC, 5%",,2.6-4.2,25.0,,,True,,,,,,,,,,,,
41,g-C3N4NS@NCM-811,True,True,True,True,True,,yes,,sonication-assisted liquid exfoliation and chemical vapor-assisted coating,,550.0,4.0,,g-C3N4,80:10:10,LiPF6,1.0M,EC:DMC,3:7,"FEC, 5%",,2.6-4.2,25.0,,,False,,,,,,,,,,,,
42,SC-NCM,False,True,True,True,True,,no,Li2CO3,co-precipitation,solid-state reaction,860.0,12.0,,,90:10:4,LiPF6,1M,EC:DEC,1:1,,8 mg/cm^2,2.75–4.30,25.0,209.7,,,,,True,,,,,,True,False,,
42,N-NCM,True,True,True,True,True,,yes,Li2CO3,co-precipitation,solid-state reaction,860.0,12.0,,,90:10:4,LiPF6,1M,EC:DEC,1:1,,8 mg/cm^2,2.75–4.30,25.0,215.01,,,,,True,,,,,,True,False,,
44,pristine NCM622,True,True,True,True,True,,yes,LiOH,co-precipitation,sintering,875.0,12.0,,γ-Al2O3,90:4:6,LiPF6,1M,EC:EMC,3:7,"VC, 2%",9.0 mg/cm^2,,,196.07,,,,,,,,,,,,,,
44,polymer/γ-Al2O3-coated NCM622,True,True,True,True,True,,yes,LiOH,co-precipitation,sintering,875.0,12.0,,γ-Al2O3,90:4:6,LiPF6,1M,EC:EMC,3:7,"VC, 2%",9.0 mg/cm^2,,,196.07,,,,,,,,,,,,,,
44,polymer/γ-Al2O3-coated NCM622,False,False,False,False,False,,yes,LiOH,co-precipitation,sintering,875.0,12.0,,γ-Al2O3,90:4:6,LiPF6,1M,EC:EMC,3:7,"VC, 2%",9.0 mg/cm^2,,,203.97,,,,,,,,,,,,,,
56,pristine NCM,False,True,True,True,True,,yes,LiOH,co-precipitation,calcination and sintering,750.0,15.0,Mg,Li3PO4,96:2:2,LiPF6,1M,DMC:EC:EMC,1:1:1,,,3.0-4.3,25.0,199.1,False,,,,True,,,,,,,,True,True
56,M-NCM,False,True,True,True,True,,no,LiOH,co-precipitation,calcination and sintering,750.0,15.0,Mg,Li3PO4,96:2:2,LiPF6,1M,DMC:EC:EMC,1:1:1,,,3.0-4.3,25.0,203.5,,,,,True,,,,,,,,,True
