Paper ID,Sample,Li ratio,Ni ratio,Co ratio,Mn ratio,O ratio,Commercial NCM used,Lithium source,Synthesis method,Crystallization method,Crystallization final temperature,Crystallization final duration (hours),Doping,Coating,Active material to Conductive additive to Binder ratio,Electrolyte salt,Electrolyte concentration,Electrolyte solvent,Electrolyte solvent ratio,Additive,Loading density (mass loading of NCM),Particle size,Particle shape,Particle distribution,Coating layer characteristics,Crystal structure and lattice characteristics,Voltage range,Temperature,C-rate 0.1,C-rate 0.5,C-rate 1.0,C-rate 2.0,C-rate 0.05,C-rate 5,C-rate 5.0,C-rate 10,C-rate 20,C-rate 40,C-rate None,C-rate 0.2,W ratio,C-rate 4.0,C-rate 6.0
40,PC-NCM,1,0.83,0.11,0.06,2,no,"['LiOH', 'Li2CO3']",,calcination,975,9,,,90:5:5,LiPF6,1 M,EC:DEC,1:1,,5,,Spherical polycrystalline particles,,,,,,,,,,,,,,,,,,,,
41,NCM-811,1,0.8,0.1,0.1,2,yes,,,,,,,Graphitic carbon nitride,80:10:10,LiPF6,1.0 M,EC/DMC,3:7,"FEC, 5.0%",,10 to 20 μm,"Spherical, surface rupture from nanosized primary particles",Large spherical particles formed by assembled nanosized primary particles.,,,2.6-4.2,,170.0,,130.0,,,,,,,,,,,,
41,g-C3N4@NCM-811,1,0.8,0.1,0.1,2,yes,,,,,,,Graphitic carbon nitride,80:10:10,LiPF6,1.0 M,EC/DMC,3:7,"FEC, 5.0%",,10 to 20 μm,Spherical,Particle structure preserved after coating.,Thin homogeneous coating (~20 nm). Increases to ~70 nm as melamine ratio increases from 20% to 40%.,,2.6-4.2,,170.0,,170.0,,,,,,,,,,,,
41,g-C3N4NS@NCM-811,1,0.8,0.1,0.1,2,yes,,,,,,,Graphitic carbon nitride,80:10:10,LiPF6,1.0 M,EC/DMC,3:7,"FEC, 5.0%",,10 to 20 μm,Spherical,,"Thick (~100 nm), inhomogeneous.",,2.6-4.2,,,,,,,,,,,,,,,,
42,SC-NCM,1,0.83,0.12,0.05,2,no,LiCO3,co-precipitation,sintering,860,12,,,90:4:6,LiPF6,1 M,EC:DEC,1:1,,8,2 μm,"Smooth surfaces, regular structure.",Uniform particle size.,,"Uniform, clear lattice stripes with ~0.474 nm spacing, corresponding to (003) crystal plane.",2.75-4.30,25,209.7,,,,,166.92,,,,,,203.41,,,
42,N-NCM,1,0.83,0.12,0.05,2,yes,LiCO3,co-precipitation,sintering,860,12,,,90:4:6,LiPF6,1 M,EC:DEC,1:1,,8,10-13 μm,Spherical polycrystalline secondary particles with agglomerated primary particles.,Agglomerated primary particles.,,,2.75-4.30,25,215.01,,,,,160.3,,,,,,191.95,,,
44,pristine NCM622,1,0.6,0.2,0.2,2,no,LiOH,co-precipitation,sintering,875,12,,γ-Al2O3,90:4:6,LiPF6,1.0 M,EC:EMC,3:7,"VC, 2%",9.0,,Irregular and rough particle surface.,,,,3.0-4.55,25,196.07,,,,,,,,,,,,,,
44,polymer/γ-Al2O3-coated NCM622,1,0.6,0.2,0.2,2,no,LiOH,co-precipitation,sintering,875,12,,γ-Al2O3,90:4:6,LiPF6,1.0 M,EC:EMC,3:7,"VC, 2%",9.0,,Irregular and rough particle surface.,,Ultrathin and microporous γ-Al2O3 coating (~7.8 nm thick). Porous structure with ~3.6 nm pore size. Smooth and continuous.,,3.0-4.55,25,203.97,,,,,,,,,,,,,,
56,pristine NCM,1,0.8,0.1,0.1,2,no,LiOH,co-precipitation,sintering,750,15,Mg,Li3PO4,96:2:2,LiPF6,1 M,DMC:EC:EMC,1:1:1,,,11.7 μm,Spherical,Homogeneous,,,3.0-4.3,25,199.1,,,,,,159.0,,,,,,,169.8,151.3
56,M-NCM,1,0.8,0.1,0.1,2,no,LiOH,co-precipitation,sintering,750,15,Mg,Li3PO4,96:2:2,LiPF6,1 M,DMC:EC:EMC,1:1:1,,,11.7 μm,Spherical,Homogeneous,Thin Li3PO4 coating (~1.8 nm) on M-NCM particles.,,3.0-4.3,25,203.5,,,,,,180.0,,,,,,,,168.9
